245,ACRS,NMS,"Aclaris Therapeutics, Inc.",20.000,0.000,0.000,19.490,21.429,801213,20.000,19.520,0.700,24.280,9.629,4.539,2954404,1651471,NULL,34422130,561533,1607990400
246,ACRX,NGM,"AcelRx Pharmaceuticals, Inc.",2.283,0.000,0.000,2.120,2.290,4941169,2.283,2.250,0.700,2.940,1.631,1.472,4543903,12044085,NULL,88852635,10503969,1607990400
247,ACSG,PCX,Xtrackers MSCI ACWI ex USA ESG Leaders Equity ETF,32.000,0.000,0.000,31.680,32.000,972,32.000,32.377,19.060,33.100,31.828,29.121,637,850,NULL,NULL,NULL,NULL
248,ACSI,BTS,American Customer Satisfaction ETF,43.139,0.000,0.000,42.650,43.139,7788,43.139,43.636,24.320,45.000,43.552,39.734,567,1750,NULL,NULL,NULL,NULL
249,ACST,NCM,Acasti Pharma Inc.,0.696,0.000,0.000,0.650,0.730,20239634,0.696,0.695,0.170,1.090,0.499,0.408,42271104,58424857,NULL,93530366,1588343,1607990400
250,ACTC,NCM,ArcLight Clean Transition Corp.,23.400,0.000,0.000,22.480,24.470,2179984,23.400,23.320,9.740,31.060,16.777,15.167,3169283,3490571,NULL,NULL,1028409,1607990400
251,ACTCU,NCM,ArcLight Clean Transition Corp.,26.820,0.000,0.000,26.160,28.010,39988,26.820,26.770,9.870,35.500,18.912,13.268,221418,85971,NULL,NULL,2999,1607990400
252,ACTG,NMS,Acacia Research Corporation,5.710,0.000,0.000,5.560,6.050,952874,5.710,5.660,1.750,6.250,4.583,3.901,587559,1211114,NULL,45477050,1224200,1607990400
253,ACTV,PCX,LeaderShares Activist Leaders ETF,33.090,0.000,0.000,32.630,33.350,37709,33.090,33.220,24.000,33.599,32.164,30.016,25791,9485,NULL,NULL,NULL,NULL
254,ACU,ASE,Acme United Corporation,31.320,0.000,0.000,30.510,31.410,11399,31.320,31.430,17.100,35.490,31.054,26.845,21136,19933,NULL,2691130,1973,1607990400
255,ACV,NYQ,AllianzGI Diversified Income & Convertible Fund,32.940,0.000,0.000,31.770,33.170,67222,32.940,32.820,11.510,34.650,33.033,28.330,40649,48350,NULL,NULL,22962,1607990400
256,ACVF,PCX,American Conservative Values ETF,27.970,0.000,0.000,27.475,27.840,9408,27.970,28.005,27.200,30.000,27.952,27.952,5516,6200,NULL,NULL,NULL,NULL
257,ACWF,PCX,iShares MSCI Global Multifactor ETF,34.320,0.000,0.000,33.826,34.010,2115,34.320,34.603,20.750,35.655,34.169,31.377,10440,7333,NULL,NULL,NULL,NULL
258,ACWI,NGM,iShares MSCI ACWI ETF,91.440,0.000,0.000,89.970,91.750,5009108,91.440,92.250,53.310,94.380,91.455,84.155,3904642,4383314,NULL,NULL,NULL,NULL
259,ACWV,BTS,iShares MSCI Global Min Vol Factor ETF,95.980,0.000,0.000,95.000,96.346,304934,95.980,96.710,70.060,99.700,96.743,93.868,307614,372783,NULL,NULL,NULL,NULL
260,ACWX,NGM,iShares MSCI ACWI ex U.S. ETF,53.640,0.000,0.000,52.980,53.810,1075113,53.640,54.430,32.400,55.820,53.857,49.005,1416067,1137400,NULL,NULL,NULL,NULL
261,ACY,ASE,AeroCentury Corp.,13.010,0.000,0.000,11.320,15.330,781554,13.010,12.750,0.710,38.040,7.343,3.486,1470429,1024683,NULL,1196576,50638,1607990400
262,ADAP,NMS,Adaptimmune Therapeutics plc,5.540,0.000,0.000,5.350,5.740,709287,5.540,5.480,2.000,13.400,5.428,6.762,1598222,942200,NULL,74035326,1328599,1607990400
263,ADBE,NMS,Adobe Inc.,462.170,0.000,0.000,455.110,465.000,3061106,462.170,465.670,255.130,536.880,481.236,475.282,2720178,2859157,NULL,477062846,4267417,1607990400
264,ADC,NYQ,Agree Realty Corporation,63.840,0.000,0.000,62.810,64.500,476866,63.840,64.290,45.230,80.510,64.772,65.492,637370,455850,NULL,54265100,3275189,1607990400
265,ADCT,NYQ,ADC Therapeutics SA,29.780,0.000,0.000,28.510,31.280,173352,29.780,30.100,25.105,56.590,32.633,36.591,236362,277633,NULL,32946056,3630476,1607990400
266,ADERU,NCM,26 Capital Acquisition Corp.,10.490,0.000,0.000,10.450,10.580,176629,10.490,10.500,10.400,11.040,10.620,10.620,872240,396285,NULL,NULL,0,NULL
267,ADES,NGM,"Advanced Emissions Solutions, Inc.",5.190,0.000,0.000,5.050,5.360,92166,5.190,5.190,3.520,12.630,5.517,4.772,98377,91771,NULL,12749491,798210,1607990400
268,ADFI,BTS,Anfield Dynamic Fixed Income ETF,9.920,0.000,0.000,9.920,9.920,184,9.920,9.890,9.857,10.055,9.921,9.963,744,2500,NULL,NULL,NULL,NULL
269,ADI,NMS,"Analog Devices, Inc.",148.580,0.000,0.000,146.650,149.530,3512758,148.580,149.210,79.080,162.980,150.364,129.154,2712822,3593142,NULL,368180617,30398057,1607990400
270,ADIL,NCM,"Adial Pharmaceuticals, Inc.",2.220,0.000,0.000,2.100,2.220,183434,2.220,2.150,1.000,4.000,1.952,1.755,516934,813157,NULL,11803156,369840,1607990400
271,ADM,NYQ,Archer-Daniels-Midland Company,50.730,0.000,0.000,49.695,50.900,4765417,50.730,51.010,28.920,53.990,50.933,47.832,2550234,3074733,NULL,560838080,4166940,1607990400
272,ADMA,NGM,"ADMA Biologics, Inc.",2.170,0.000,0.000,2.150,2.265,2750308,2.170,2.170,1.450,4.200,2.169,2.366,3414075,3607800,NULL,76071472,11087126,1607990400
273,ADME,BTS,Aptus Drawdown Managed Equity ETF,36.180,0.000,0.000,35.390,36.180,17737,36.180,36.095,25.660,36.890,35.925,34.582,24978,22316,NULL,NULL,NULL,NULL
274,ADMP,NCM,Adamis Pharmaceuticals Corporation,1.140,0.000,0.000,1.090,1.210,38076575,1.140,1.400,0.270,2.340,0.817,0.793,16730398,59573700,NULL,92574946,3362538,1607990400
275,ADMS,NGM,"Adamas Pharmaceuticals, Inc.",5.510,0.000,0.000,5.380,5.910,1395469,5.510,5.370,1.900,6.020,4.778,4.272,250496,850685,NULL,19209425,1203367,1607990400
276,ADNT,NYQ,Adient plc,32.670,0.000,0.000,31.880,32.920,1059211,32.670,32.910,5.900,38.260,35.076,24.935,924096,887166,NULL,93478559,3425064,1607990400
277,ADOC,NCM,Edoc Acquisition Corp.,10.160,0.000,0.000,10.150,10.240,9720,10.160,10.220,9.850,10.340,10.185,10.177,97776,57242,NULL,NULL,2945,1607990400
